Date,DailyRevenue,RollingAvg7
2010-12-01,58960.79,
2010-12-02,47748.38,
2010-12-03,46943.71,
2010-12-05,31774.95,
2010-12-06,54830.46,
2010-12-07,99618.2,
2010-12-08,45389.98,55038.06714285714
2010-12-09,53586.18,54270.26571428571
2010-12-10,59182.92,55903.77142857143
2010-12-12,17329.07,51673.10857142857
2010-12-13,38006.71,52563.35999999999
2010-12-14,45254.73,51195.39857142857
2010-12-15,30444.62,41313.45857142857
2010-12-16,49352.9,41879.590000000004
2010-12-17,45418.33,40712.75428571429
2010-12-19,7534.91,33334.467142857146
2010-12-20,26789.13,34685.904285714285
2010-12-21,47304.090000000004,36014.10142857143
2010-12-22,6199.97,30434.850000000002
2010-12-23,12076.11,27810.777142857143
2011-01-04,16026.08,23049.802857142855
2011-01-05,32634.47,21223.537142857145
2011-01-06,40382.85,25916.100000000002
2011-01-07,28836.59,26208.594285714287
2011-01-09,15778.2,21704.895714285718
2011-01-10,24569.07,24329.052857142855
2011-01-11,68655.59,32411.835714285717
2011-01-12,24693.78,33650.07857142857
2011-01-13,20624.64,31934.388571428568
2011-01-14,47576.9,32962.11
2011-01-16,7242.06,29877.17714285714
2011-01-17,29333.02,31813.579999999994
2011-01-18,95978.05,42014.86285714286
2011-01-19,25934.57,35911.86
2011-01-20,21246.99,35419.46142857143
2011-01-21,32640.3,37135.98428571429
2011-01-23,10400.25,31825.034285714286
2011-01-24,25733.79,34466.71
2011-01-25,29077.47,34430.20285714286
2011-01-26,19922.29,23565.094285714287
2011-01-27,23730.84,23250.27571428571
2011-01-28,20090.65,23085.084285714285
2011-01-30,6615.75,19367.29142857143
2011-01-31,23640.36,21258.735714285714
2011-02-01,29034.99,21730.335714285717
2011-02-02,21216.2,20607.29714285714
2011-02-03,23479.83,21115.51714285714
2011-02-04,25162.19,21319.995714285713
2011-02-06,3457.11,18943.77571428571
2011-02-07,25955.01,21706.527142857143
2011-02-08,20949.92,21322.178571428572
2011-02-09,16692.58,19558.977142857144
2011-02-10,14896.460000000001,18656.15714285714
2011-02-11,22873.1,18569.481428571427
2011-02-13,5713.63,15791.115714285714
2011-02-14,26703.51,19112.030000000002
2011-02-15,39875.74,21100.705714285716
2011-02-16,24949.1,21672.01714285714
2011-02-17,26372.670000000002,23054.887142857147
2011-02-18,16208.75,23242.35714285714
2011-02-20,9624.69,21349.727142857148
2011-02-21,36388.75,25731.887142857147
2011-02-22,32498.35,26559.721428571425
2011-02-23,26891.6,24704.844285714287
2011-02-24,22809.84,24399.235714285714
2011-02-25,20595.74,23573.959999999995
2011-02-27,9526.5,22619.352857142854
2011-02-28,21755.63,24352.344285714284
2011-03-01,26354.96,22918.945714285714
2011-03-02,18690.79,20946.437142857143
2011-03-03,36404.0,22305.35142857143
2011-03-04,19506.8,21833.488571428574
2011-03-06,10005.37,20320.57857142857
2011-03-07,32356.55,23582.014285714282
2011-03-08,25081.62,24057.155714285716
2011-03-09,22038.84,23440.567142857144
2011-03-10,26120.22,24501.91428571429
2011-03-11,25475.18,22940.65428571429
2011-03-13,4148.12,20746.557142857142
2011-03-14,26019.55,23034.297142857144
2011-03-15,23493.49,21768.145714285714
2011-03-16,21948.36,21320.537142857145
